PROJNUM,Total_Terrain_Types,Terrain_Type_List
20010910,2,"riparian, upland"
20010911,3,"instream, riparian, upland"
20010915,2,"instream, riparian"
20010917,2,"instream, riparian"
20010930,2,"instream, road"
20010935,2,"road, upland"
20010939,2,"passage, road"
20010949,2,"instream, road"
20010977,2,"instream, riparian"
20010979,2,"riparian, passage"
20010986,3,"instream, riparian, upland"
20010988,3,"instream, riparian, road"
20010994,2,"passage, road"
20010995,2,"passage, road"
20011003,3,"passage, upland, screening"
20011004,4,"passage, upland, screening, flow"
20011005,2,"upland, flow"
20011018,2,"riparian, wetland"
20011082,2,"instream, riparian"
20011088,2,"passage, road"
20011090,4,"instream, riparian, upland, screening"
20011099,2,"passage, road"
20011103,2,"passage, road"
20011105,2,"passage, road"
20011108,2,"passage, road"
20011122,2,"riparian, upland"
20011123,2,"riparian, upland"
20011124,2,"riparian, upland"
20011126,2,"riparian, upland"
20011127,2,"riparian, upland"
20011128,2,"riparian, upland"
20011129,2,"riparian, upland"
20011130,2,"riparian, upland"
20011133,2,"riparian, upland"
20011136,2,"riparian, road"
20011137,2,"riparian, upland"
20011139,2,"instream, riparian"
20011140,2,"riparian, upland"
20011141,2,"instream, riparian"
20011142,2,"instream, riparian"
20011143,2,"instream, riparian"
20011144,2,"instream, riparian"
20011145,2,"passage, wetland"
20020002,2,"instream, passage"
20020009,2,"instream, passage"
20020031,2,"instream, riparian"
20020041,3,"instream, riparian, passage"
20020042,2,"instream, road"
20020043,2,"instream, riparian"
20020060,2,"passage, road"
20020061,2,"passage, road"
20020062,2,"passage, road"
20020063,2,"passage, road"
20020065,2,"passage, road"
20020068,2,"riparian, upland"
20020069,3,"instream, riparian, passage"
20020179,2,"passage, road"
20020236,2,"passage, road"
20020237,2,"passage, road"
20020238,2,"passage, road"
20020244,2,"passage, road"
20020249,2,"passage, road"
20020252,2,"passage, road"
20020255,2,"passage, road"
20020257,2,"passage, road"
20020343,2,"passage, road"
20020346,2,"passage, road"
20020348,2,"passage, road"
20020349,2,"passage, road"
20020350,2,"passage, road"
20020362,2,"passage, road"
20020420,2,"riparian, upland"
20020422,2,"riparian, upland"
20020428,2,"passage, wetland"
20020441,2,"riparian, passage"
20020446,2,"riparian, passage"
20020467,2,"passage, road"
20020468,2,"passage, road"
20020475,2,"passage, road"
20020478,2,"instream, upland"
20020499,2,"riparian, upland"
20020501,2,"riparian, upland"
20020532,2,"instream, riparian"
20020537,2,"riparian, road"
20020551,2,"riparian, passage"
20020558,2,"riparian, upland"
20020562,2,"riparian, upland"
20020563,2,"riparian, upland"
20020566,2,"riparian, upland"
20020567,3,"instream, riparian, upland"
20020571,2,"upland, flow"
20020574,3,"instream, riparian, upland"
20020596,2,"instream, passage"
20020633,2,"riparian, upland"
20020651,2,"road, upland"
20020652,2,"instream, passage"
20020653,2,"passage, road"
20020654,4,"instream, riparian, road, wetland"
20020663,2,"passage, road"
20020679,2,"passage, road"
20020684,2,"passage, screening"
20020697,2,"instream, passage"
20020703,2,"passage, road"
20020708,2,"road, upland"
20020714,3,"instream, riparian, upland"
20020720,2,"instream, riparian"
20020722,3,"instream, riparian, wetland"
20020749,2,"instream, passage"
20020777,2,"passage, road"
