PROJNUM,ActivityType
19971442,Road
19971443,Road
19971444,Riparian
19971445,Riparian
19971447,Road
19971448,Road
19971449,Road
19971451,Riparian
19971452,Riparian
19971453,Riparian
19971454,Riparian
19971455,Riparian
19971456,Riparian
19971457,Riparian
19971458,Riparian
19971459,Riparian
19971460,Riparian
19971461,Riparian
19971462,Riparian
19971463,Riparian
19971465,Fish Passage
19971466,Fish Passage
19971467,Fish Passage
19971468,Road
19971469,Road
19971470,Combined
19971471,Road
19971472,Road
19971473,Road
19971474,Road
19971475,Road
19971476,Road
19971477,Road
19971478,Road
19971479,Road
19971480,Road
19971481,Road
19971482,Road
19971483,Road
19971484,Road
19971485,Road
19971486,Road
19971487,Road
19971488,Road
19971489,Road
19971490,Road
19971491,Road
19971492,Road
19971493,Road
19971494,Road
19971495,Road
19971496,Road
19971497,Road
19971498,Road
19971501,Riparian
19971502,Riparian
19971503,Riparian
19971504,Riparian
19971505,Riparian
19971506,Combined
19971507,Riparian
19971508,Riparian
19971509,Riparian
19971510,Combined
19971511,Combined
19971512,Riparian
19971513,Riparian
19971514,Riparian
19971515,Riparian
19971516,Riparian
19971517,Riparian
19971518,Riparian
19971519,Riparian
19971520,Road
19971521,Road
19971522,Road
19971523,Road
19971524,Road
19971525,Fish Passage
19971526,Road
19971527,Road
19971528,Road
19971529,Road
19971530,Fish Passage
19971531,Combined
19971532,Road
19971533,Road
19971534,Road
19971535,Road
19971536,Road
19971537,Fish Passage
19971538,Combined
19971539,Combined
19971540,Road
19971541,Road
19971542,Road
19971543,Fish Passage
19971544,Combined
19971545,Combined
19971546,Combined
19971547,Riparian
19971548,Combined
19971549,Riparian
19971550,Riparian
19971551,Riparian
19971552,Riparian
19971553,Fish Passage
19971554,Combined
19971555,Combined
19971556,Riparian
19971557,Fish Passage
19971558,Riparian
19971559,Instream
19971560,Riparian
19971562,Riparian
19971564,Road
19971565,Road
19971566,Road
19971567,Road
19971568,Road
19971569,Road
19971570,Road
19971571,Road
19971572,Road
19971573,Road
19971574,Road
19971575,Road
19971576,Road
19971577,Road
19971578,Road
19971579,Road
19971580,Road
19971581,Road
19971582,Road
19971583,Road
19971584,Road
19971585,Road
19971586,Road
19971587,Road
19971588,Road
19971589,Road
19971590,Road
19971591,Road
19971592,Road
19971593,Road
19971594,Road
19971595,Road
19971596,Fish Passage
19971597,Fish Passage
19971598,Fish Passage
19971599,Fish Passage
19971600,Fish Passage
19971601,Fish Passage
19971602,Fish Passage
19971603,Fish Passage
19971604,Fish Passage
19971605,Fish Passage
19971606,Fish Passage
19971607,Fish Passage
19971608,Riparian
19971609,Riparian
19971610,Riparian
19971611,Riparian
19971612,Combined
19971615,Road
19971616,Road
19971617,Riparian
19971618,Fish Passage
19971619,Riparian
19971620,Riparian
19971621,Road
19971622,Road
19971623,Road
19971624,Road
19971625,Road
19971626,Road
19971628,Fish Passage
19971629,Road
19971631,Combined
19971632,Riparian
19971633,Riparian
19971635,Combined
19971637,Road
19971638,Road
19971644,Road
19971645,Road
19971646,Road
19971649,Road
19971651,Road
19971652,Combined
19971653,Road
19971654,Road
19971658,Road
19971660,Combined
19971666,Combined
19971680,Road
19971682,Road
19971686,Road
19971696,Combined
19971704,Road
19971705,Combined
19971706,Road
19971707,Road
19971708,Road
19971709,Road
19971710,Road
19971711,Combined
19971712,Road
19971713,Road
19971714,Road
19971715,Road
19971716,Road
19971717,Road
19971718,Road
19971719,Road
19971720,Road
19971721,Road
19971722,Road
19971723,Road
19971724,Road
19971725,Road
19971726,Road
19971727,Road
19971728,Road
19971729,Road
19971730,Road
19971731,Road
19971732,Road
19971733,Road
19971734,Road
19971735,Road
19971736,Fish Passage
19971737,Road
19971738,Instream
19971739,Fish Passage
19971741,Fish Passage
19971752,Riparian
19972000,Road
19972001,Road
19972002,Road
19972003,Road
19972004,Road
19972005,Road
19972006,Road
19972007,Road
19972008,Road
19972009,Road
19972010,Road
19972011,Road
19972012,Road
19972013,Road
19972014,Road
19972015,Road
19972016,Road
19972017,Road
19972018,Combined
19972019,Road
19972020,Road
19972021,Road
19972022,Road
19972023,Road
19972024,Road
19972025,Road
19972026,Road
19972027,Road
19972028,Road
19972029,Road
19972030,Road
